C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13.1078,-0.00196651
13.108,-0.00196703
13.1082,-0.00196754
13.1084,-0.00196806
13.1086,-0.00196858
13.1088,-0.0019691
13.109,-0.00196962
13.1092,-0.00197015
13.1094,-0.00197067
13.1096,-0.00197119
13.1098,-0.00197171
13.11,-0.00197224
13.1102,-0.00197277
13.1104,-0.00197329
13.1106,-0.00197382
13.1108,-0.00197435
13.111,-0.00197488
13.1112,-0.0019754
13.1114,-0.00197593
13.1116,-0.00197647
13.1118,-0.001977
13.112,-0.00197753
13.1122,-0.00197806
13.1124,-0.0019786
13.1126,-0.00197913
13.1128,-0.00197967
13.113,-0.0019802
13.1132,-0.00198074
13.1134,-0.00198128
13.1136,-0.00198182
13.1138,-0.00198236
13.114,-0.0019829
13.1142,-0.00198344
13.1144,-0.00198398
13.1146,-0.00198452
13.1148,-0.00198507
13.115,-0.00198561
13.1152,-0.00198616
13.1154,-0.0019867
13.1156,-0.00198725
13.1158,-0.0019878
13.116,-0.00198835
13.1162,-0.00198889
13.1164,-0.00198944
13.1166,-0.00199
13.1168,-0.00199055
13.117,-0.0019911
13.1172,-0.00199165
13.1174,-0.00199221
13.1176,-0.00199276
13.1178,-0.00199332
13.118,-0.00199388
13.1182,-0.00199443
13.1184,-0.00199499
13.1186,-0.00199555
13.1188,-0.00199611
13.119,-0.00199667
13.1192,-0.00199723
13.1194,-0.0019978
13.1196,-0.00199836
13.1198,-0.00199893
13.12,-0.00199949
13.1202,-0.00200006
13.1204,-0.00200062
13.1206,-0.00200119
13.1208,-0.00200176
13.121,-0.00200233
13.1212,-0.0020029
13.1214,-0.00200347
13.1216,-0.00200404
13.1218,-0.00200462
13.122,-0.00200519
13.1222,-0.00200577
13.1224,-0.00200634
13.1226,-0.00200692
13.1228,-0.0020075
13.123,-0.00200808
13.1232,-0.00200866
13.1234,-0.00200924
13.1236,-0.00200982
13.1238,-0.0020104
13.124,-0.00201098
13.1242,-0.00201157
13.1244,-0.00201215
13.1246,-0.00201274
13.1248,-0.00201332
13.125,-0.00201391
13.1252,-0.0020145
13.1254,-0.00201509
13.1256,-0.00201568
13.1258,-0.00201627
13.126,-0.00201687
13.1262,-0.00201746
13.1264,-0.00201805
13.1266,-0.00201865
13.1268,-0.00201924
13.127,-0.00201984
13.1272,-0.00202044
13.1274,-0.00202104
13.1276,-0.00202164
13.1278,-0.00202224
13.128,-0.00202284
13.1282,-0.00202345
13.1284,-0.00202405
13.1286,-0.00202465
13.1288,-0.00202526
13.129,-0.00202587
13.1292,-0.00202647
13.1294,-0.00202708
13.1296,-0.00202769
13.1298,-0.0020283
13.13,-0.00202892
13.1302,-0.00202953
13.1304,-0.00203014
13.1306,-0.00203076
13.1308,-0.00203137
13.131,-0.00203199
13.1312,-0.00203261
13.1314,-0.00203323
13.1316,-0.00203385
13.1318,-0.00203447
13.132,-0.00203509
13.1322,-0.00203571
13.1324,-0.00203634
13.1326,-0.00203696
13.1328,-0.00203759
13.133,-0.00203821
13.1332,-0.00203884
13.1334,-0.00203947
13.1336,-0.0020401
13.1338,-0.00204073
13.134,-0.00204137
13.1342,-0.002042
13.1344,-0.00204263
13.1346,-0.00204327
13.1348,-0.0020439
13.135,-0.00204454
13.1352,-0.00204518
13.1354,-0.00204582
13.1356,-0.00204646
13.1358,-0.0020471
13.136,-0.00204775
13.1362,-0.00204839
13.1364,-0.00204904
13.1366,-0.00204968
13.1368,-0.00205033
13.137,-0.00205098
13.1372,-0.00205163
13.1374,-0.00205228
13.1376,-0.00205293
13.1378,-0.00205358
13.138,-0.00205424
13.1382,-0.00205489
13.1384,-0.00205555
13.1386,-0.00205621
13.1388,-0.00205686
13.139,-0.00205752
13.1392,-0.00205818
13.1394,-0.00205885
13.1396,-0.00205951
13.1398,-0.00206017
13.14,-0.00206084
13.1402,-0.0020615
13.1404,-0.00206217
13.1406,-0.00206284
13.1408,-0.00206351
13.141,-0.00206418
13.1412,-0.00206485
13.1414,-0.00206553
13.1416,-0.0020662
13.1418,-0.00206688
13.142,-0.00206756
13.1422,-0.00206823
13.1424,-0.00206891
13.1426,-0.00206959
13.1428,-0.00207027
13.143,-0.00207096
13.1432,-0.00207164
13.1434,-0.00207233
13.1436,-0.00207301
13.1438,-0.0020737
13.144,-0.00207439
13.1442,-0.00207508
13.1444,-0.00207577
13.1446,-0.00207646
13.1448,-0.00207716
13.145,-0.00207785
13.1452,-0.00207855
13.1454,-0.00207925
13.1456,-0.00207995
13.1458,-0.00208065
13.146,-0.00208135
13.1462,-0.00208205
13.1464,-0.00208275
13.1466,-0.00208346
13.1468,-0.00208417
13.147,-0.00208487
13.1472,-0.00208558
13.1474,-0.00208629
13.1476,-0.002087
13.1478,-0.00208772
13.148,-0.00208843
13.1482,-0.00208915
13.1484,-0.00208986
13.1486,-0.00209058
13.1488,-0.0020913
13.149,-0.00209202
13.1492,-0.00209274
13.1494,-0.00209346
13.1496,-0.00209419
13.1498,-0.00209491
13.15,-0.00209564
13.1502,-0.00209637
13.1504,-0.0020971
13.1506,-0.00209783
13.1508,-0.00209856
13.151,-0.0020993
13.1512,-0.00210003
13.1514,-0.00210077
13.1516,-0.00210151
13.1518,-0.00210225
13.152,-0.00210299
13.1522,-0.00210373
13.1524,-0.00210447
13.1526,-0.00210522
13.1528,-0.00210596
13.153,-0.00210671
13.1532,-0.00210746
13.1534,-0.00210821
13.1536,-0.00210896
13.1538,-0.00210972
13.154,-0.00211047
13.1542,-0.00211123
13.1544,-0.00211198
13.1546,-0.00211274
13.1548,-0.0021135
13.155,-0.00211426
13.1552,-0.00211503
13.1554,-0.00211579
13.1556,-0.00211656
13.1558,-0.00211733
13.156,-0.00211809
13.1562,-0.00211886
13.1564,-0.00211964
13.1566,-0.00212041
13.1568,-0.00212118
