C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
9.5,-39.6152
9.52,-39.6277
9.54,-39.6403
9.56,-39.653
9.58,-39.6659
9.6,-39.6789
9.62,-39.6921
9.64,-39.7054
9.66,-39.7189
9.68,-39.7325
9.7,-39.7462
9.72,-39.7601
9.74,-39.7741
9.76,-39.7883
9.78,-39.8026
9.8,-39.8171
9.82,-39.8317
9.84,-39.8464
9.86,-39.8613
9.88,-39.8764
9.9,-39.8916
9.92,-39.9069
9.94,-39.9224
9.96,-39.938
9.98,-39.9538
10,-39.9697
C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=6.5 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
4,-41.1686
4.02,-41.1351
4.04,-41.1019
4.06,-41.0689
4.08,-41.0363
4.1,-41.0038
4.12,-40.9717
4.14,-40.9398
4.16,-40.9082
4.18,-40.8768
4.2,-40.8457
4.22,-40.8149
4.24,-40.7843
4.26,-40.7539
4.28,-40.7238
4.3,-40.694
4.32,-40.6644
4.34,-40.6351
4.36,-40.606
4.38,-40.5771
4.4,-40.5485
4.42,-40.5202
4.44,-40.492
4.46,-40.4642
4.48,-40.4365
4.5,-40.4091
4.52,-40.3819
4.54,-40.355
4.56,-40.3283
4.58,-40.3018
4.6,-40.2756
4.62,-40.2496
4.64,-40.2238
4.66,-40.1983
4.68,-40.173
4.7,-40.1479
4.72,-40.1231
4.74,-40.0984
4.76,-40.074
4.78,-40.0499
4.8,-40.0259
4.82,-40.0022
4.84,-39.9787
4.86,-39.9554
4.88,-39.9324
4.9,-39.9095
4.92,-39.8869
4.94,-39.8645
4.96,-39.8424
4.98,-39.8204
5,-39.7987
5.02,-39.7772
5.04,-39.756
5.06,-39.7349
5.08,-39.7141
5.1,-39.6935
5.12,-39.6731
5.14,-39.653
5.16,-39.633
5.18,-39.6133
5.2,-39.5939
5.22,-39.5746
5.24,-39.5556
5.26,-39.5368
5.28,-39.5183
5.3,-39.4999
5.32,-39.4819
5.34,-39.464
5.36,-39.4464
5.38,-39.429
5.4,-39.4119
5.42,-39.395
5.44,-39.3784
5.46,-39.362
5.48,-39.3459
5.5,-39.33
5.52,-39.3144
5.54,-39.2991
5.56,-39.284
5.58,-39.2693
5.6,-39.2548
5.62,-39.2406
5.64,-39.2267
5.66,-39.2131
5.68,-39.1998
5.7,-39.1869
5.72,-39.1743
5.74,-39.162
5.76,-39.1502
5.78,-39.1386
5.8,-39.1275
5.82,-39.1168
5.84,-39.1066
5.86,-39.0968
5.88,-39.0874
5.9,-39.0786
5.92,-39.0703
5.94,-39.0627
5.96,-39.0556
5.98,-39.0492
6,-39.0435
6.02,-39.0386
6.04,-39.0346
6.06,-39.0315
