C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\sondata\DARTWARS_TestChip_res2_w2_l320_param.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320_param
6.385,-0.00125967
6.39,-0.00126008
6.395,-0.00126051
6.4,-0.00126094
6.405,-0.00126138
6.41,-0.00126184
6.415,-0.0012623
6.42,-0.00126277
6.425,-0.00126326
6.43,-0.00126375
6.435,-0.00126424
6.44,-0.00126475
6.445,-0.00126526
6.45,-0.00126578
6.455,-0.00126631
6.46,-0.00126684
6.465,-0.00126738
6.47,-0.00126793
6.475,-0.00126848
6.48,-0.00126904
6.485,-0.0012696
6.49,-0.00127017
6.495,-0.00127074
6.5,-0.00127132
6.505,-0.00127191
6.51,-0.0012725
6.515,-0.00127309
6.52,-0.00127369
6.525,-0.00127429
6.53,-0.00127489
6.535,-0.0012755
6.54,-0.00127612
6.545,-0.00127673
6.55,-0.00127735
6.555,-0.00127797
6.56,-0.0012786
6.565,-0.00127923
6.57,-0.00127986
6.575,-0.0012805
6.58,-0.00128114
6.585,-0.00128178
6.59,-0.00128242
6.595,-0.00128307
6.6,-0.00128371
6.605,-0.00128436
6.61,-0.00128502
6.615,-0.00128567
6.62,-0.00128633
6.625,-0.00128699
6.63,-0.00128765
6.635,-0.00128831
6.64,-0.00128897
6.645,-0.00128964
6.65,-0.0012903
6.655,-0.00129097
6.66,-0.00129164
6.665,-0.00129231
6.67,-0.00129298
6.675,-0.00129365
6.68,-0.00129433
6.685,-0.001295
6.69,-0.00129568
6.695,-0.00129636
6.7,-0.00129703
6.705,-0.00129771
6.71,-0.00129839
6.715,-0.00129907
6.72,-0.00129975
6.725,-0.00130043
6.73,-0.00130112
6.735,-0.0013018
6.74,-0.00130248
6.745,-0.00130317
6.75,-0.00130385
6.755,-0.00130453
6.76,-0.00130522
6.765,-0.0013059
6.77,-0.00130659
6.775,-0.00130727
6.78,-0.00130796
6.785,-0.00130865
6.79,-0.00130933
6.795,-0.00131002
6.8,-0.0013107
6.805,-0.00131139
6.81,-0.00131207
6.815,-0.00131276
6.82,-0.00131344
6.825,-0.00131413
6.83,-0.00131481
6.835,-0.0013155
6.84,-0.00131618
6.845,-0.00131687
6.85,-0.00131755
6.855,-0.00131824
6.86,-0.00131892
6.865,-0.0013196
6.87,-0.00132029
6.875,-0.00132097
6.88,-0.00132165
6.885,-0.00132233
6.89,-0.00132301
6.895,-0.00132369
6.9,-0.00132437
6.905,-0.00132505
6.91,-0.00132573
6.915,-0.00132641
6.92,-0.00132708
6.925,-0.00132776
6.93,-0.00132844
6.935,-0.00132911
6.94,-0.00132979
6.945,-0.00133046
6.95,-0.00133113
6.955,-0.00133181
