C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=0.0 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320
11.613,-0.00117115
11.614,-0.00117154
11.615,-0.00117194
11.616,-0.00117234
11.617,-0.00117275
11.618,-0.00117315
11.619,-0.00117355
11.62,-0.00117395
11.621,-0.00117435
11.622,-0.00117475
11.623,-0.00117516
11.624,-0.00117556
11.625,-0.00117596
11.626,-0.00117637
11.627,-0.00117677
11.628,-0.00117718
11.629,-0.00117758
11.63,-0.00117799
11.631,-0.0011784
11.632,-0.0011788
11.633,-0.00117921
11.634,-0.00117962
11.635,-0.00118002
11.636,-0.00118043
11.637,-0.00118084
11.638,-0.00118125
11.639,-0.00118166
11.64,-0.00118207
11.641,-0.00118248
11.642,-0.00118289
11.643,-0.0011833
11.644,-0.00118371
11.645,-0.00118413
11.646,-0.00118454
11.647,-0.00118495
11.648,-0.00118536
11.649,-0.00118578
11.65,-0.00118619
11.651,-0.00118661
11.652,-0.00118702
11.653,-0.00118744
11.654,-0.00118785
11.655,-0.00118827
11.656,-0.00118869
11.657,-0.0011891
11.658,-0.00118952
11.659,-0.00118994
11.66,-0.00119036
11.661,-0.00119078
11.662,-0.0011912
11.663,-0.00119162
11.664,-0.00119204
11.665,-0.00119246
11.666,-0.00119288
11.667,-0.0011933
11.668,-0.00119372
11.669,-0.00119415
11.67,-0.00119457
11.671,-0.00119499
11.672,-0.00119542
11.673,-0.00119584
11.674,-0.00119627
11.675,-0.00119669
11.676,-0.00119712
11.677,-0.00119754
11.678,-0.00119797
11.679,-0.0011984
11.68,-0.00119883
11.681,-0.00119925
11.682,-0.00119968
11.683,-0.00120011
11.684,-0.00120054
11.685,-0.00120097
11.686,-0.0012014
11.687,-0.00120184
11.688,-0.00120227
11.689,-0.0012027
11.69,-0.00120313
11.691,-0.00120357
11.692,-0.001204
11.693,-0.00120443
11.694,-0.00120487
11.695,-0.0012053
11.696,-0.00120574
11.697,-0.00120618
11.698,-0.00120661
11.699,-0.00120705
11.7,-0.00120749
11.701,-0.00120793
11.702,-0.00120837
11.703,-0.00120881
11.704,-0.00120925
11.705,-0.00120969
11.706,-0.00121013
11.707,-0.00121057
11.708,-0.00121101
11.709,-0.00121145
11.71,-0.0012119
11.711,-0.00121234
11.712,-0.00121279
11.713,-0.00121323
11.714,-0.00121368
11.715,-0.00121412
11.716,-0.00121457
11.717,-0.00121502
11.718,-0.00121546
11.719,-0.00121591
11.72,-0.00121636
11.721,-0.00121681
11.722,-0.00121726
11.723,-0.00121771
11.724,-0.00121816
11.725,-0.00121861
11.726,-0.00121907
11.727,-0.00121952
11.728,-0.00121997
11.729,-0.00122043
11.73,-0.00122088
11.731,-0.00122134
11.732,-0.00122179
11.733,-0.00122224
11.734,-0.00122271
11.735,-0.00122316
11.736,-0.00122362
11.737,-0.00122408
11.738,-0.00122454
11.739,-0.001225
11.74,-0.00122546
11.741,-0.00122592
11.742,-0.00122638
11.743,-0.00122685
11.744,-0.00122731
11.745,-0.00122777
11.746,-0.00122824
11.747,-0.0012287
11.748,-0.00122917
11.749,-0.00122963
11.75,-0.0012301
11.751,-0.00123057
11.752,-0.00123104
11.753,-0.00123151
11.754,-0.00123197
11.755,-0.00123245
11.756,-0.00123292
11.757,-0.00123339
11.758,-0.00123386
11.759,-0.00123433
11.76,-0.00123481
11.761,-0.00123528
11.762,-0.00123575
11.763,-0.00123623
11.764,-0.00123671
11.765,-0.00123718
11.766,-0.00123766
11.767,-0.00123814
11.768,-0.00123862
11.769,-0.0012391
11.77,-0.00123958
11.771,-0.00124006
11.772,-0.00124054
11.773,-0.00124102
11.774,-0.0012415
11.775,-0.00124199
11.776,-0.00124247
11.777,-0.00124296
11.778,-0.00124344
11.779,-0.00124393
11.78,-0.00124442
11.781,-0.00124491
11.782,-0.00124539
11.783,-0.00124588
11.784,-0.00124637
11.785,-0.00124687
11.786,-0.00124736
11.787,-0.00124785
11.788,-0.00124834
11.789,-0.00124884
11.79,-0.00124933
11.791,-0.00124983
11.792,-0.00125032
11.793,-0.00125082
11.794,-0.00125132
11.795,-0.00125182
11.796,-0.00125232
11.797,-0.00125282
11.798,-0.00125332
11.799,-0.00125382
11.8,-0.00125432
11.801,-0.00125483
11.802,-0.00125533
11.803,-0.00125583
11.804,-0.00125634
11.805,-0.00125685
11.806,-0.00125735
11.807,-0.00125786
11.808,-0.00125837
11.809,-0.00125888
11.81,-0.00125939
11.811,-0.0012599
11.812,-0.00126042
11.813,-0.00126093
11.814,-0.00126144
11.815,-0.00126196
11.816,-0.00126247
11.817,-0.00126299
11.818,-0.00126351
11.819,-0.00126403
11.82,-0.00126454
11.821,-0.00126507
11.822,-0.00126559
11.823,-0.00126611
11.824,-0.00126663
11.825,-0.00126715
11.826,-0.00126768
11.827,-0.0012682
11.828,-0.00126873
11.829,-0.00126926
11.83,-0.00126979
11.831,-0.00127031
11.832,-0.00127084
11.833,-0.00127138
11.834,-0.00127191
11.835,-0.00127244
11.836,-0.00127297
11.837,-0.00127351
11.838,-0.00127404
11.839,-0.00127458
11.84,-0.00127512
11.841,-0.00127566
11.842,-0.00127619
11.843,-0.00127674
11.844,-0.00127728
11.845,-0.00127782
11.846,-0.00127836
11.847,-0.00127891
11.848,-0.00127945
11.849,-0.00128
11.85,-0.00128055
11.851,-0.00128109
11.852,-0.00128164
11.853,-0.00128219
11.854,-0.00128274
11.855,-0.0012833
11.856,-0.00128385
11.857,-0.0012844
11.858,-0.00128496
11.859,-0.00128552
11.86,-0.00128607
11.861,-0.00128663
11.862,-0.00128719
11.863,-0.00128775
11.864,-0.00128831
11.865,-0.00128888
11.866,-0.00128944
11.867,-0.00129001
11.868,-0.00129057
11.869,-0.00129114
11.87,-0.00129171
11.871,-0.00129228
11.872,-0.00129285
11.873,-0.00129342
11.874,-0.00129399
11.875,-0.00129457
11.876,-0.00129514
11.877,-0.00129572
11.878,-0.0012963
11.879,-0.00129687
11.88,-0.00129745
11.881,-0.00129804
11.882,-0.00129862
11.883,-0.0012992
11.884,-0.00129979
11.885,-0.00130037
11.886,-0.00130096
11.887,-0.00130155
11.888,-0.00130214
11.889,-0.00130273
11.89,-0.00130332
11.891,-0.00130391
11.892,-0.00130451
11.893,-0.0013051
11.894,-0.0013057
11.895,-0.0013063
11.896,-0.0013069
11.897,-0.0013075
11.898,-0.0013081
11.899,-0.0013087
11.9,-0.00130931
11.901,-0.00130991
11.902,-0.00131052
11.903,-0.00131113
11.904,-0.00131174
11.905,-0.00131235
11.906,-0.00131296
11.907,-0.00131357
11.908,-0.00131419
11.909,-0.00131481
11.91,-0.00131542
11.911,-0.00131604
11.912,-0.00131666
11.913,-0.00131729
11.914,-0.00131791
11.915,-0.00131853
11.916,-0.00131916
11.917,-0.00131979
11.918,-0.00132042
11.919,-0.00132105
11.92,-0.00132168
11.921,-0.00132231
11.922,-0.00132295
11.923,-0.00132358
11.924,-0.00132422
11.925,-0.00132486
11.926,-0.0013255
11.927,-0.00132614
11.928,-0.00132679
11.929,-0.00132743
11.93,-0.00132808
11.931,-0.00132873
11.932,-0.00132938
11.933,-0.00133003
11.934,-0.00133068
11.935,-0.00133134
11.936,-0.001332
11.937,-0.00133265
11.938,-0.00133331
11.939,-0.00133397
11.94,-0.00133464
11.941,-0.0013353
11.942,-0.00133597
11.943,-0.00133663
11.944,-0.0013373
11.945,-0.00133798
11.946,-0.00133865
11.947,-0.00133932
11.948,-0.00134
11.949,-0.00134068
11.95,-0.00134136
11.951,-0.00134204
11.952,-0.00134272
11.953,-0.0013434
11.954,-0.00134409
11.955,-0.00134478
11.956,-0.00134547
11.957,-0.00134616
11.958,-0.00134686
11.959,-0.00134755
11.96,-0.00134825
11.961,-0.00134895
11.962,-0.00134965
11.963,-0.00135035
11.964,-0.00135106
11.965,-0.00135176
11.966,-0.00135247
11.967,-0.00135318
11.968,-0.00135389
11.969,-0.00135461
11.97,-0.00135533
11.971,-0.00135604
11.972,-0.00135676
11.973,-0.00135749
11.974,-0.00135821
11.975,-0.00135894
11.976,-0.00135966
11.977,-0.00136039
11.978,-0.00136113
11.979,-0.00136186
11.98,-0.0013626
11.981,-0.00136334
11.982,-0.00136408
11.983,-0.00136482
11.984,-0.00136556
11.985,-0.00136631
11.986,-0.00136706
11.987,-0.00136781
11.988,-0.00136857
11.989,-0.00136932
11.99,-0.00137008
11.991,-0.00137084
11.992,-0.0013716
11.993,-0.00137237
11.994,-0.00137313
11.995,-0.0013739
11.996,-0.00137467
11.997,-0.00137545
11.998,-0.00137622
11.999,-0.001377
12,-0.00137778
12.001,-0.00137857
12.002,-0.00137935
12.003,-0.00138014
12.004,-0.00138093
12.005,-0.00138172
12.006,-0.00138252
12.007,-0.00138332
12.008,-0.00138412
12.009,-0.00138492
12.01,-0.00138572
12.011,-0.00138653
12.012,-0.00138734
12.013,-0.00138816
12.014,-0.00138897
12.015,-0.00138979
12.016,-0.00139061
12.017,-0.00139143
12.018,-0.00139226
12.019,-0.00139309
12.02,-0.00139392
12.021,-0.00139475
12.022,-0.00139559
12.023,-0.00139643
12.024,-0.00139727
12.025,-0.00139812
12.026,-0.00139897
12.027,-0.00139982
12.028,-0.00140067
12.029,-0.00140153
12.03,-0.00140239
12.031,-0.00140325
12.032,-0.00140412
12.033,-0.00140498
12.034,-0.00140586
12.035,-0.00140673
12.036,-0.00140761
12.037,-0.00140849
12.038,-0.00140937
12.039,-0.00141026
12.04,-0.00141115
12.041,-0.00141204
12.042,-0.00141294
12.043,-0.00141384
12.044,-0.00141474
12.045,-0.00141564
12.046,-0.00141655
12.047,-0.00141746
12.048,-0.00141838
12.049,-0.0014193
12.05,-0.00142022
12.051,-0.00142115
12.052,-0.00142208
12.053,-0.00142301
12.054,-0.00142394
12.055,-0.00142488
12.056,-0.00142583
12.057,-0.00142677
12.058,-0.00142772
12.059,-0.00142868
12.06,-0.00142963
12.061,-0.00143059
12.062,-0.00143156
12.063,-0.00143253
12.064,-0.0014335
12.065,-0.00143447
12.066,-0.00143545
12.067,-0.00143644
12.068,-0.00143742
12.069,-0.00143841
12.07,-0.00143941
12.071,-0.00144041
12.072,-0.00144141
12.073,-0.00144242
12.074,-0.00144343
12.075,-0.00144444
12.076,-0.00144546
12.077,-0.00144649
12.078,-0.00144751
12.079,-0.00144854
12.08,-0.00144958
12.081,-0.00145062
12.082,-0.00145166
12.083,-0.00145271
12.084,-0.00145377
12.085,-0.00145482
12.086,-0.00145588
12.087,-0.00145695
12.088,-0.00145802
12.089,-0.0014591
12.09,-0.00146018
12.091,-0.00146126
12.092,-0.00146235
12.093,-0.00146345
12.094,-0.00146454
12.095,-0.00146565
12.096,-0.00146676
12.097,-0.00146787
12.098,-0.00146899
12.099,-0.00147011
12.1,-0.00147124
12.101,-0.00147237
12.102,-0.00147351
12.103,-0.00147465
12.104,-0.0014758
12.105,-0.00147696
12.106,-0.00147811
12.107,-0.00147928
12.108,-0.00148045
12.109,-0.00148162
12.11,-0.0014828
12.111,-0.00148399
12.112,-0.00148518
12.113,-0.00148638
12.114,-0.00148758
12.115,-0.00148879
12.116,-0.00149
12.117,-0.00149122
12.118,-0.00149245
12.119,-0.00149368
12.12,-0.00149492
12.121,-0.00149616
12.122,-0.00149741
12.123,-0.00149867
12.124,-0.00149993
12.125,-0.0015012
12.126,-0.00150247
12.127,-0.00150376
12.128,-0.00150504
12.129,-0.00150634
12.13,-0.00150764
12.131,-0.00150894
12.132,-0.00151026
12.133,-0.00151158
12.134,-0.0015129
12.135,-0.00151424
12.136,-0.00151558
12.137,-0.00151693
12.138,-0.00151828
12.139,-0.00151964
12.14,-0.00152101
12.141,-0.00152239
12.142,-0.00152377
12.143,-0.00152517
12.144,-0.00152656
12.145,-0.00152797
12.146,-0.00152938
12.147,-0.00153081
12.148,-0.00153223
12.149,-0.00153367
12.15,-0.00153512
12.151,-0.00153657
12.152,-0.00153803
