C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280_param.son DE_EMBEDDED Lk=8.5 l=280.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res1_w1_l280_param
5.402,-0.00106671
5.404,-0.00106691
5.406,-0.00106712
5.408,-0.00106733
5.41,-0.00106754
5.412,-0.00106776
5.414,-0.00106797
5.416,-0.0010682
5.418,-0.00106842
5.42,-0.00106865
5.422,-0.00106888
5.424,-0.00106911
5.426,-0.00106935
5.428,-0.00106959
5.43,-0.00106983
5.432,-0.00107008
5.434,-0.00107032
5.436,-0.00107057
5.438,-0.00107083
5.44,-0.00107108
5.442,-0.00107134
5.444,-0.0010716
5.446,-0.00107186
5.448,-0.00107213
5.45,-0.00107239
5.452,-0.00107266
5.454,-0.00107293
5.456,-0.00107321
5.458,-0.00107349
5.46,-0.00107376
5.462,-0.00107404
5.464,-0.00107433
5.466,-0.00107461
5.468,-0.0010749
5.47,-0.00107519
5.472,-0.00107548
5.474,-0.00107577
5.476,-0.00107606
5.478,-0.00107636
5.48,-0.00107665
5.482,-0.00107695
5.484,-0.00107726
5.486,-0.00107756
5.488,-0.00107786
5.49,-0.00107817
5.492,-0.00107848
5.494,-0.00107879
5.496,-0.0010791
5.498,-0.00107941
5.5,-0.00107972
5.502,-0.00108004
5.504,-0.00108036
5.506,-0.00108068
5.508,-0.001081
5.51,-0.00108132
5.512,-0.00108164
5.514,-0.00108196
5.516,-0.00108229
5.518,-0.00108262
5.52,-0.00108294
5.522,-0.00108327
5.524,-0.0010836
5.526,-0.00108394
5.528,-0.00108427
5.53,-0.0010846
5.532,-0.00108494
5.534,-0.00108528
5.536,-0.00108562
5.538,-0.00108595
5.54,-0.00108629
5.542,-0.00108664
5.544,-0.00108698
5.546,-0.00108732
5.548,-0.00108767
5.55,-0.00108801
5.552,-0.00108836
5.554,-0.00108871
5.556,-0.00108906
5.558,-0.0010894
5.56,-0.00108976
5.562,-0.00109011
5.564,-0.00109046
5.566,-0.00109081
5.568,-0.00109117
5.57,-0.00109152
5.572,-0.00109188
5.574,-0.00109224
5.576,-0.00109259
5.578,-0.00109295
5.58,-0.00109331
5.582,-0.00109367
5.584,-0.00109403
5.586,-0.0010944
5.588,-0.00109476
5.59,-0.00109512
5.592,-0.00109549
5.594,-0.00109585
5.596,-0.00109622
5.598,-0.00109658
5.6,-0.00109695
5.602,-0.00109732
5.604,-0.00109769
5.606,-0.00109806
5.608,-0.00109843
5.61,-0.0010988
5.612,-0.00109917
5.614,-0.00109954
5.616,-0.00109992
5.618,-0.00110029
5.62,-0.00110066
5.622,-0.00110104
5.624,-0.00110141
5.626,-0.00110179
5.628,-0.00110216
5.63,-0.00110254
5.632,-0.00110292
5.634,-0.0011033
5.636,-0.00110368
5.638,-0.00110406
5.64,-0.00110444
5.642,-0.00110482
5.644,-0.0011052
5.646,-0.00110558
5.648,-0.00110596
5.65,-0.00110634
5.652,-0.00110673
5.654,-0.00110711
5.656,-0.00110749
5.658,-0.00110788
5.66,-0.00110826
5.662,-0.00110865
5.664,-0.00110903
5.666,-0.00110942
5.668,-0.00110981
5.67,-0.00111019
5.672,-0.00111058
5.674,-0.00111097
5.676,-0.00111136
5.678,-0.00111175
5.68,-0.00111213
5.682,-0.00111252
5.684,-0.00111291
5.686,-0.0011133
5.688,-0.0011137
5.69,-0.00111409
5.692,-0.00111448
5.694,-0.00111487
5.696,-0.00111526
5.698,-0.00111565
5.7,-0.00111605
5.702,-0.00111644
5.704,-0.00111683
5.706,-0.00111723
5.708,-0.00111762
5.71,-0.00111802
5.712,-0.00111841
5.714,-0.00111881
5.716,-0.0011192
5.718,-0.0011196
5.72,-0.00111999
5.722,-0.00112039
5.724,-0.00112079
5.726,-0.00112118
5.728,-0.00112158
5.73,-0.00112198
5.732,-0.00112238
5.734,-0.00112278
5.736,-0.00112317
5.738,-0.00112357
5.74,-0.00112397
5.742,-0.00112437
5.744,-0.00112477
5.746,-0.00112517
5.748,-0.00112557
5.75,-0.00112597
5.752,-0.00112637
5.754,-0.00112677
5.756,-0.00112717
5.758,-0.00112757
5.76,-0.00112797
5.762,-0.00112837
5.764,-0.00112878
5.766,-0.00112918
5.768,-0.00112958
5.77,-0.00112998
5.772,-0.00113038
5.774,-0.00113079
5.776,-0.00113119
5.778,-0.00113159
5.78,-0.001132
5.782,-0.0011324
5.784,-0.0011328
5.786,-0.00113321
5.788,-0.00113361
5.79,-0.00113401
5.792,-0.00113442
5.794,-0.00113482
5.796,-0.00113523
5.798,-0.00113563
5.8,-0.00113604
5.802,-0.00113644
5.804,-0.00113685
5.806,-0.00113725
5.808,-0.00113766
5.81,-0.00113806
5.812,-0.00113847
5.814,-0.00113887
5.816,-0.00113928
5.818,-0.00113968
5.82,-0.00114009
5.822,-0.0011405
5.824,-0.0011409
5.826,-0.00114131
5.828,-0.00114172
5.83,-0.00114212
5.832,-0.00114253
5.834,-0.00114294
5.836,-0.00114334
5.838,-0.00114375
5.84,-0.00114416
5.842,-0.00114456
5.844,-0.00114497
5.846,-0.00114538
5.848,-0.00114579
5.85,-0.00114619
5.852,-0.0011466
5.854,-0.00114701
5.856,-0.00114742
5.858,-0.00114783
5.86,-0.00114823
5.862,-0.00114864
5.864,-0.00114905
5.866,-0.00114946
5.868,-0.00114987
5.87,-0.00115027
5.872,-0.00115068
5.874,-0.00115109
5.876,-0.0011515
5.878,-0.00115191
5.88,-0.00115232
5.882,-0.00115272
5.884,-0.00115313
5.886,-0.00115354
5.888,-0.00115395
5.89,-0.00115436
5.892,-0.00115477
5.894,-0.00115518
5.896,-0.00115558
5.898,-0.00115599
5.9,-0.0011564
5.902,-0.00115681
5.904,-0.00115722
5.906,-0.00115763
5.908,-0.00115804
5.91,-0.00115845
5.912,-0.00115886
5.914,-0.00115926
5.916,-0.00115967
5.918,-0.00116008
5.92,-0.00116049
5.922,-0.0011609
5.924,-0.00116131
5.926,-0.00116172
5.928,-0.00116213
5.93,-0.00116254
5.932,-0.00116295
5.934,-0.00116335
5.936,-0.00116376
5.938,-0.00116417
5.94,-0.00116458
5.942,-0.00116499
5.944,-0.0011654
5.946,-0.00116581
5.948,-0.00116622
5.95,-0.00116663
5.952,-0.00116703
5.954,-0.00116744
5.956,-0.00116785
5.958,-0.00116826
5.96,-0.00116867
5.962,-0.00116908
5.964,-0.00116949
5.966,-0.0011699
5.968,-0.00117031
5.97,-0.00117071
5.972,-0.00117112
5.974,-0.00117153
5.976,-0.00117194
5.978,-0.00117235
5.98,-0.00117276
5.982,-0.00117317
5.984,-0.00117357
5.986,-0.00117398
5.988,-0.00117439
5.99,-0.0011748
5.992,-0.00117521
5.994,-0.00117561
5.996,-0.00117602
5.998,-0.00117643
6,-0.00117684
6.002,-0.00117725
6.004,-0.00117766
6.006,-0.00117806
6.008,-0.00117847
6.01,-0.00117888
6.012,-0.00117929
6.014,-0.00117969
6.016,-0.0011801
6.018,-0.00118051
6.02,-0.00118092
6.022,-0.00118132
6.024,-0.00118173
6.026,-0.00118214
6.028,-0.00118255
6.03,-0.00118295
6.032,-0.00118336
6.034,-0.00118377
6.036,-0.00118417
6.038,-0.00118458
6.04,-0.00118499
6.042,-0.00118539
6.044,-0.0011858
6.046,-0.00118621
6.048,-0.00118661
6.05,-0.00118702
6.052,-0.00118743
6.054,-0.00118783
6.056,-0.00118824
6.058,-0.00118864
6.06,-0.00118905
6.062,-0.00118946
6.064,-0.00118986
6.066,-0.00119027
6.068,-0.00119067
6.07,-0.00119108
6.072,-0.00119148
6.074,-0.00119189
6.076,-0.0011923
6.078,-0.0011927
6.08,-0.00119311
6.082,-0.00119351
6.084,-0.00119392
6.086,-0.00119432
6.088,-0.00119472
6.09,-0.00119513
6.092,-0.00119553
6.094,-0.00119594
6.096,-0.00119634
6.098,-0.00119675
6.1,-0.00119715
6.102,-0.00119755
6.104,-0.00119796
6.106,-0.00119836
6.108,-0.00119877
6.11,-0.00119917
6.112,-0.00119957
6.114,-0.00119998
6.116,-0.00120038
6.118,-0.00120078
6.12,-0.00120118
6.122,-0.00120159
6.124,-0.00120199
6.126,-0.00120239
6.128,-0.00120279
6.13,-0.0012032
6.132,-0.0012036
6.134,-0.001204
6.136,-0.0012044
6.138,-0.00120481
6.14,-0.00120521
6.142,-0.00120561
6.144,-0.00120601
6.146,-0.00120641
6.148,-0.00120681
6.15,-0.00120721
6.152,-0.00120761
6.154,-0.00120802
6.156,-0.00120842
6.158,-0.00120882
6.16,-0.00120922
6.162,-0.00120962
6.164,-0.00121002
6.166,-0.00121042
6.168,-0.00121082
6.17,-0.00121122
6.172,-0.00121162
6.174,-0.00121202
6.176,-0.00121242
6.178,-0.00121282
6.18,-0.00121321
6.182,-0.00121361
6.184,-0.00121401
6.186,-0.00121441
6.188,-0.00121481
6.19,-0.00121521
6.192,-0.00121561
6.194,-0.001216
6.196,-0.0012164
6.198,-0.0012168
6.2,-0.0012172
6.202,-0.00121759
6.204,-0.00121799
6.206,-0.00121839
6.208,-0.00121879
6.21,-0.00121918
6.212,-0.00121958
6.214,-0.00121998
6.216,-0.00122037
6.218,-0.00122077
6.22,-0.00122117
6.222,-0.00122156
6.224,-0.00122196
6.226,-0.00122235
6.228,-0.00122275
6.23,-0.00122314
6.232,-0.00122354
6.234,-0.00122393
6.236,-0.00122433
6.238,-0.00122472
6.24,-0.00122512
6.242,-0.00122551
6.244,-0.00122591
6.246,-0.0012263
6.248,-0.0012267
6.25,-0.00122709
6.252,-0.00122748
6.254,-0.00122788
6.256,-0.00122827
6.258,-0.00122866
6.26,-0.00122906
6.262,-0.00122945
6.264,-0.00122984
6.266,-0.00123023
6.268,-0.00123063
6.27,-0.00123102
6.272,-0.00123141
6.274,-0.0012318
6.276,-0.00123219
6.278,-0.00123258
6.28,-0.00123298
6.282,-0.00123337
6.284,-0.00123376
6.286,-0.00123415
6.288,-0.00123454
6.29,-0.00123493
6.292,-0.00123532
6.294,-0.00123571
6.296,-0.0012361
6.298,-0.00123649
6.3,-0.00123688
6.302,-0.00123727
6.304,-0.00123766
6.306,-0.00123805
6.308,-0.00123844
6.31,-0.00123882
6.312,-0.00123921
6.314,-0.0012396
6.316,-0.00123999
6.318,-0.00124038
6.32,-0.00124076
6.322,-0.00124115
6.324,-0.00124154
6.326,-0.00124193
6.328,-0.00124231
6.33,-0.0012427
6.332,-0.00124309
6.334,-0.00124347
6.336,-0.00124386
6.338,-0.00124425
6.34,-0.00124463
6.342,-0.00124502
6.344,-0.0012454
