C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
10.693,-0.138628
10.694,-0.138667
10.695,-0.138705
10.696,-0.138744
10.697,-0.138782
10.698,-0.138821
10.699,-0.138859
10.7,-0.138898
10.701,-0.138937
10.702,-0.138975
10.703,-0.139014
10.704,-0.139052
10.705,-0.139091
10.706,-0.139129
10.707,-0.139168
10.708,-0.139207
10.709,-0.139245
10.71,-0.139284
10.711,-0.139323
10.712,-0.139361
10.713,-0.1394
10.714,-0.139439
10.715,-0.139477
10.716,-0.139516
10.717,-0.139555
10.718,-0.139593
10.719,-0.139632
10.72,-0.139671
10.721,-0.13971
10.722,-0.139748
10.723,-0.139787
10.724,-0.139826
10.725,-0.139865
10.726,-0.139903
10.727,-0.139942
10.728,-0.139981
10.729,-0.14002
10.73,-0.140058
10.731,-0.140097
10.732,-0.140136
10.733,-0.140175
10.734,-0.140214
10.735,-0.140253
10.736,-0.140291
10.737,-0.14033
10.738,-0.140369
10.739,-0.140408
10.74,-0.140447
10.741,-0.140486
10.742,-0.140525
10.743,-0.140564
10.744,-0.140603
10.745,-0.140642
10.746,-0.14068
10.747,-0.140719
10.748,-0.140758
10.749,-0.140797
10.75,-0.140836
10.751,-0.140875
10.752,-0.140914
10.753,-0.140953
10.754,-0.140992
10.755,-0.141031
10.756,-0.14107
10.757,-0.141109
10.758,-0.141148
10.759,-0.141187
10.76,-0.141226
10.761,-0.141265
10.762,-0.141304
10.763,-0.141344
10.764,-0.141383
10.765,-0.141422
10.766,-0.141461
10.767,-0.1415
10.768,-0.141539
10.769,-0.141578
10.77,-0.141617
10.771,-0.141656
10.772,-0.141696
10.773,-0.141735
10.774,-0.141774
10.775,-0.141813
10.776,-0.141852
10.777,-0.141891
10.778,-0.141931
10.779,-0.14197
10.78,-0.142009
10.781,-0.142048
10.782,-0.142087
10.783,-0.142127
10.784,-0.142166
10.785,-0.142205
10.786,-0.142244
10.787,-0.142284
10.788,-0.142323
10.789,-0.142362
10.79,-0.142401
10.791,-0.142441
10.792,-0.14248
10.793,-0.142519
10.794,-0.142559
10.795,-0.142598
10.796,-0.142637
10.797,-0.142677
10.798,-0.142716
10.799,-0.142755
10.8,-0.142795
10.801,-0.142834
10.802,-0.142874
10.803,-0.142913
10.804,-0.142952
10.805,-0.142992
10.806,-0.143031
10.807,-0.143071
10.808,-0.14311
10.809,-0.143149
10.81,-0.143189
10.811,-0.143228
10.812,-0.143268
10.813,-0.143307
10.814,-0.143347
10.815,-0.143386
10.816,-0.143426
10.817,-0.143465
10.818,-0.143505
10.819,-0.143544
10.82,-0.143584
10.821,-0.143623
10.822,-0.143663
10.823,-0.143702
10.824,-0.143742
10.825,-0.143781
10.826,-0.143821
10.827,-0.143861
10.828,-0.1439
10.829,-0.14394
10.83,-0.143979
10.831,-0.144019
10.832,-0.144059
10.833,-0.144098
10.834,-0.144138
10.835,-0.144177
10.836,-0.144217
10.837,-0.144257
10.838,-0.144296
10.839,-0.144336
10.84,-0.144376
10.841,-0.144415
